,name,url,promoted_content,query,tweet_volume,location,country,as_of,created_at
0,#INDvsAUS,http://twitter.com/search?q=%23INDvsAUS,,%23INDvsAUS,,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
1,#welldoneFrance,http://twitter.com/search?q=%23welldoneFrance,,%23welldoneFrance,42201.0,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
2,#फ्रांस_माफी_मांग,http://twitter.com/search?q=%23%E0%A4%AB%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%82%E0%A4%B8_%E0%A4%AE%E0%A4%BE%E0%A4%AB%E0%A5%80_%E0%A4%AE%E0%A4%BE%E0%A4%82%E0%A4%97,,%23%E0%A4%AB%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%82%E0%A4%B8_%E0%A4%AE%E0%A4%BE%E0%A4%AB%E0%A5%80_%E0%A4%AE%E0%A4%BE%E0%A4%82%E0%A4%97,34823.0,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
3,#AMAs,http://twitter.com/search?q=%23AMAs,,%23AMAs,2396322.0,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
4,#KKRvsKXIP,http://twitter.com/search?q=%23KKRvsKXIP,,%23KKRvsKXIP,,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
5,Rohit,http://twitter.com/search?q=Rohit,,Rohit,23248.0,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
6,Varun Chakravarthy,http://twitter.com/search?q=%22Varun+Chakravarthy%22,,%22Varun+Chakravarthy%22,,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
7,WE STAND BY RAHUL VAIDYA,http://twitter.com/search?q=%22WE+STAND+BY+RAHUL+VAIDYA%22,,%22WE+STAND+BY+RAHUL+VAIDYA%22,14819.0,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
8,ASIM FAN FOR LIFE,http://twitter.com/search?q=%22ASIM+FAN+FOR+LIFE%22,,%22ASIM+FAN+FOR+LIFE%22,41546.0,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
9,Surya Kumar Yadav,http://twitter.com/search?q=%22Surya+Kumar+Yadav%22,,%22Surya+Kumar+Yadav%22,,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
10,BCCI,http://twitter.com/search?q=BCCI,,BCCI,22246.0,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
11,13 Years Of Jab We Met,http://twitter.com/search?q=%2213+Years+Of+Jab+We+Met%22,,%2213+Years+Of+Jab+We+Met%22,,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
12,Nagarkoti,http://twitter.com/search?q=Nagarkoti,,Nagarkoti,,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
13,Rishabh Pant,http://twitter.com/search?q=%22Rishabh+Pant%22,,%22Rishabh+Pant%22,,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
14,Saini,http://twitter.com/search?q=Saini,,Saini,18240.0,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
15,Ishant Sharma,http://twitter.com/search?q=%22Ishant+Sharma%22,,%22Ishant+Sharma%22,,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
16,PROUD OF ZAYN,http://twitter.com/search?q=%22PROUD+OF+ZAYN%22,,%22PROUD+OF+ZAYN%22,49785.0,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
17,Shubman Gill,http://twitter.com/search?q=%22Shubman+Gill%22,,%22Shubman+Gill%22,,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
18,hobi,http://twitter.com/search?q=hobi,,hobi,127940.0,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
19,Injured,http://twitter.com/search?q=Injured,,Injured,49034.0,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
20,Bishnoi,http://twitter.com/search?q=Bishnoi,,Bishnoi,,India,IN,2020-10-26T16:22:57Z,2020-10-26T04:04:08Z
