,name,url,promoted_content,query,tweet_volume,location,country,as_of,created_at
0,#tuesdaymotivations,http://twitter.com/search?q=%23tuesdaymotivations,,%23tuesdaymotivations,,India,IN,2021-07-06T00:47:54Z,2021-06-15T05:19:47Z
1,#GodMorningTuesday,http://twitter.com/search?q=%23GodMorningTuesday,,%23GodMorningTuesday,,India,IN,2021-07-06T00:47:54Z,2021-06-15T05:19:47Z
2,#TuesdayFeeling,http://twitter.com/search?q=%23TuesdayFeeling,,%23TuesdayFeeling,,India,IN,2021-07-06T00:47:54Z,2021-06-15T05:19:47Z
3,#tuesdayvibe,http://twitter.com/search?q=%23tuesdayvibe,,%23tuesdayvibe,,India,IN,2021-07-06T00:47:54Z,2021-06-15T05:19:47Z
4,SLOT CHANGE FOR SAAKK,http://twitter.com/search?q=%22SLOT+CHANGE+FOR+SAAKK%22,,%22SLOT+CHANGE+FOR+SAAKK%22,132703.0,India,IN,2021-07-06T00:47:54Z,2021-06-15T05:19:47Z
5,#earthquake,http://twitter.com/search?q=%23earthquake,,%23earthquake,,India,IN,2021-07-06T00:47:54Z,2021-06-15T05:19:47Z
6,Peru,http://twitter.com/search?q=Peru,,Peru,240649.0,India,IN,2021-07-06T00:47:54Z,2021-06-15T05:19:47Z
7,True Patriot Sushant,http://twitter.com/search?q=%22True+Patriot+Sushant%22,,%22True+Patriot+Sushant%22,96743.0,India,IN,2021-07-06T00:47:54Z,2021-06-15T05:19:47Z
8,Neymar,http://twitter.com/search?q=Neymar,,Neymar,144305.0,India,IN,2021-07-06T00:47:54Z,2021-06-15T05:19:47Z
9,श्यामा प्रसाद मुखर्जी,http://twitter.com/search?q=%22%E0%A4%B6%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AE%E0%A4%BE+%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B8%E0%A4%BE%E0%A4%A6+%E0%A4%AE%E0%A5%81%E0%A4%96%E0%A4%B0%E0%A5%8D%E0%A4%9C%E0%A5%80%22,,%22%E0%A4%B6%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AE%E0%A4%BE+%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B8%E0%A4%BE%E0%A4%A6+%E0%A4%AE%E0%A5%81%E0%A4%96%E0%A4%B0%E0%A5%8D%E0%A4%9C%E0%A5%80%22,,India,IN,2021-07-06T00:47:54Z,2021-06-15T05:19:47Z
10,HAPPY BIRTHDAY RANVEER SINGH,http://twitter.com/search?q=%22HAPPY+BIRTHDAY+RANVEER+SINGH%22,,%22HAPPY+BIRTHDAY+RANVEER+SINGH%22,11963.0,India,IN,2021-07-06T00:47:54Z,2021-06-15T05:19:47Z
11,ICONIC ERA OF IMMJ II,http://twitter.com/search?q=%22ICONIC+ERA+OF+IMMJ+II%22,,%22ICONIC+ERA+OF+IMMJ+II%22,120632.0,India,IN,2021-07-06T00:47:54Z,2021-06-15T05:19:47Z
12,श्री राम,http://twitter.com/search?q=%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B0%E0%A4%BE%E0%A4%AE%22,,%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B0%E0%A4%BE%E0%A4%AE%22,79380.0,India,IN,2021-07-06T00:47:54Z,2021-06-15T05:19:47Z
13,Brazil,http://twitter.com/search?q=Brazil,,Brazil,75256.0,India,IN,2021-07-06T00:47:54Z,2021-06-15T05:19:47Z
14,Maoist,http://twitter.com/search?q=Maoist,,Maoist,18320.0,India,IN,2021-07-06T00:47:54Z,2021-06-15T05:19:47Z
15,stay this friday,http://twitter.com/search?q=%22stay+this+friday%22,,%22stay+this+friday%22,22659.0,India,IN,2021-07-06T00:47:54Z,2021-06-15T05:19:47Z
