,name,url,promoted_content,query,tweet_volume,location,country,as_of,created_at
0,#MilkhaSingh,http://twitter.com/search?q=%23MilkhaSingh,,%23MilkhaSingh,34565.0,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
1,#HappyBirthdayRahulGandhi,http://twitter.com/search?q=%23HappyBirthdayRahulGandhi,,%23HappyBirthdayRahulGandhi,25960.0,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
2,Om Shanti,http://twitter.com/search?q=%22Om+Shanti%22,,%22Om+Shanti%22,11256.0,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
3,Lautaro,http://twitter.com/search?q=Lautaro,,Lautaro,16192.0,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
4,#ENGSCO,http://twitter.com/search?q=%23ENGSCO,,%23ENGSCO,151751.0,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
5,Rest In Peace,http://twitter.com/search?q=%22Rest+In+Peace%22,,%22Rest+In+Peace%22,49565.0,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
6,#ARGURU,http://twitter.com/search?q=%23ARGURU,,%23ARGURU,,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
7,#SaturdayMorning,http://twitter.com/search?q=%23SaturdayMorning,,%23SaturdayMorning,,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
8,Southgate,http://twitter.com/search?q=Southgate,,Southgate,126995.0,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
9,Sterling,http://twitter.com/search?q=Sterling,,Sterling,92694.0,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
10,RIP Legend,http://twitter.com/search?q=%22RIP+Legend%22,,%22RIP+Legend%22,,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
11,RIP Sir,http://twitter.com/search?q=%22RIP+Sir%22,,%22RIP+Sir%22,,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
12,Grealish,http://twitter.com/search?q=Grealish,,Grealish,93806.0,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
13,फ्लाइंग सिख,http://twitter.com/search?q=%22%E0%A4%AB%E0%A5%8D%E0%A4%B2%E0%A4%BE%E0%A4%87%E0%A4%82%E0%A4%97+%E0%A4%B8%E0%A4%BF%E0%A4%96%22,,%22%E0%A4%AB%E0%A5%8D%E0%A4%B2%E0%A4%BE%E0%A4%87%E0%A4%82%E0%A4%97+%E0%A4%B8%E0%A4%BF%E0%A4%96%22,,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
14,Foden,http://twitter.com/search?q=Foden,,Foden,77181.0,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
15,Kane,http://twitter.com/search?q=Kane,,Kane,167273.0,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
16,Rashford,http://twitter.com/search?q=Rashford,,Rashford,30978.0,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
17,WE LOVE YOU JIMIN,http://twitter.com/search?q=%22WE+LOVE+YOU+JIMIN%22,,%22WE+LOVE+YOU+JIMIN%22,26618.0,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
18,Rahul ji,http://twitter.com/search?q=%22Rahul+ji%22,,%22Rahul+ji%22,,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
19,SSRians Welcome Arnab,http://twitter.com/search?q=%22SSRians+Welcome+Arnab%22,,%22SSRians+Welcome+Arnab%22,82443.0,India,IN,2021-06-19T00:45:38Z,2021-06-17T07:39:44Z
