,name,url,promoted_content,query,tweet_volume,location,country,as_of,created_at
0,#AskDhruvRathee,http://twitter.com/search?q=%23AskDhruvRathee,,%23AskDhruvRathee,,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
1,1YEAR OF GOOD NEWWZ,http://twitter.com/search?q=%221YEAR+OF+GOOD+NEWWZ%22,,%221YEAR+OF+GOOD+NEWWZ%22,85481.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
2,Queen Shehnaaz Is Back,http://twitter.com/search?q=%22Queen+Shehnaaz+Is+Back%22,,%22Queen+Shehnaaz+Is+Back%22,158286.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
3,#NatureCampaign,http://twitter.com/search?q=%23NatureCampaign,,%23NatureCampaign,,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
4,Italy,http://twitter.com/search?q=Italy,,Italy,68212.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
5,#ICCAwards2020,http://twitter.com/search?q=%23ICCAwards2020,,%23ICCAwards2020,,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
6,#MillionHeartsForTHALAIVAR,http://twitter.com/search?q=%23MillionHeartsForTHALAIVAR,,%23MillionHeartsForTHALAIVAR,67832.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
7,#गुरुबाणी_में_योगी_जी,http://twitter.com/search?q=%23%E0%A4%97%E0%A5%81%E0%A4%B0%E0%A5%81%E0%A4%AC%E0%A4%BE%E0%A4%A3%E0%A5%80_%E0%A4%AE%E0%A5%87%E0%A4%82_%E0%A4%AF%E0%A5%8B%E0%A4%97%E0%A5%80_%E0%A4%9C%E0%A5%80,,%23%E0%A4%97%E0%A5%81%E0%A4%B0%E0%A5%81%E0%A4%AC%E0%A4%BE%E0%A4%A3%E0%A5%80_%E0%A4%AE%E0%A5%87%E0%A4%82_%E0%A4%AF%E0%A5%8B%E0%A4%97%E0%A5%80_%E0%A4%9C%E0%A5%80,50682.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
8,Milan,http://twitter.com/search?q=Milan,,Milan,38024.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
9,Magical Khwabeeda,http://twitter.com/search?q=%22Magical+Khwabeeda%22,,%22Magical+Khwabeeda%22,,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
10,Shaheer Reliving Arjun & Abir,http://twitter.com/search?q=%22Shaheer+Reliving+Arjun+%26+Abir%22,,%22Shaheer+Reliving+Arjun+%26+Abir%22,,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
11,Varsha Raut,http://twitter.com/search?q=%22Varsha+Raut%22,,%22Varsha+Raut%22,,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
12,Welcome Back AsYa,http://twitter.com/search?q=%22Welcome+Back+AsYa%22,,%22Welcome+Back+AsYa%22,,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
13,Rashami On YouTube,http://twitter.com/search?q=%22Rashami+On+YouTube%22,,%22Rashami+On+YouTube%22,21918.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
14,T20I,http://twitter.com/search?q=T20I,,T20I,31784.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
15,No Corona,http://twitter.com/search?q=%22No+Corona%22,,%22No+Corona%22,11113.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
16,Akshay Kumar,http://twitter.com/search?q=%22Akshay+Kumar%22,,%22Akshay+Kumar%22,12842.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
17,BTS IS 7,http://twitter.com/search?q=%22BTS+IS+7%22,,%22BTS+IS+7%22,12011.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
18,Ramdas Athawale,http://twitter.com/search?q=%22Ramdas+Athawale%22,,%22Ramdas+Athawale%22,,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
19,2WEEKS TO HRITHIK BDAY,http://twitter.com/search?q=%222WEEKS+TO+HRITHIK+BDAY%22,,%222WEEKS+TO+HRITHIK+BDAY%22,26625.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
20,Naughty,http://twitter.com/search?q=Naughty,,Naughty,73136.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
21,Qatar Airlines,http://twitter.com/search?q=%22Qatar+Airlines%22,,%22Qatar+Airlines%22,,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
22,Babar,http://twitter.com/search?q=Babar,,Babar,,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
23,ICC Men,http://twitter.com/search?q=%22ICC+Men%22,,%22ICC+Men%22,30364.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
24,Baaz,http://twitter.com/search?q=Baaz,,Baaz,,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
25,Nani,http://twitter.com/search?q=Nani,,Nani,43150.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
26,Hina Relives Akshara Komo,http://twitter.com/search?q=%22Hina+Relives+Akshara+Komo%22,,%22Hina+Relives+Akshara+Komo%22,38889.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
27,delhi cm,http://twitter.com/search?q=%22delhi+cm%22,,%22delhi+cm%22,,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
28,maxwell,http://twitter.com/search?q=maxwell,,maxwell,27296.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
29,ICC ODI,http://twitter.com/search?q=%22ICC+ODI%22,,%22ICC+ODI%22,24908.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
30,Gayle,http://twitter.com/search?q=Gayle,,Gayle,,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
31,Finch,http://twitter.com/search?q=Finch,,Finch,,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
32,Virat Kohli,http://twitter.com/search?q=%22Virat+Kohli%22,,%22Virat+Kohli%22,17656.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
33,Warner,http://twitter.com/search?q=Warner,,Warner,78856.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
34,BE WITH ARMY,http://twitter.com/search?q=%22BE+WITH+ARMY%22,,%22BE+WITH+ARMY%22,26531.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
35,jinks,http://twitter.com/search?q=jinks,,jinks,11813.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
36,shreya ghoshal,http://twitter.com/search?q=%22shreya+ghoshal%22,,%22shreya+ghoshal%22,19883.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
37,Manipur,http://twitter.com/search?q=Manipur,,Manipur,,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
38,Arunachal Pradesh,http://twitter.com/search?q=%22Arunachal+Pradesh%22,,%22Arunachal+Pradesh%22,,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
39,#MasterManiaSoon,http://twitter.com/search?q=%23MasterManiaSoon,,%23MasterManiaSoon,58219.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
40,#KejriwalAtSinghuBorder,http://twitter.com/search?q=%23KejriwalAtSinghuBorder,,%23KejriwalAtSinghuBorder,10766.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
41,#SaintDrGurmeetRamRahimJi,http://twitter.com/search?q=%23SaintDrGurmeetRamRahimJi,,%23SaintDrGurmeetRamRahimJi,,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
42,#TimeToNurtureNature,http://twitter.com/search?q=%23TimeToNurtureNature,,%23TimeToNurtureNature,24977.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
43,#DhoniTheGOATCaptain,http://twitter.com/search?q=%23DhoniTheGOATCaptain,,%23DhoniTheGOATCaptain,29144.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
44,#RMdeservesBetter,http://twitter.com/search?q=%23RMdeservesBetter,,%23RMdeservesBetter,190847.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
45,#SundaysWithAmaal,http://twitter.com/search?q=%23SundaysWithAmaal,,%23SundaysWithAmaal,,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
46,#RespectNamjoon,http://twitter.com/search?q=%23RespectNamjoon,,%23RespectNamjoon,193696.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
47,#WelcomeBackKaBhi,http://twitter.com/search?q=%23WelcomeBackKaBhi,,%23WelcomeBackKaBhi,,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
48,#ThankYouChan,http://twitter.com/search?q=%23ThankYouChan,,%23ThankYouChan,220766.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
49,#COVIDー19,http://twitter.com/search?q=%23COVID%E3%83%BC19,,%23COVID%E3%83%BC19,22389.0,India,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
50,#SalmanKhanBirthday,http://twitter.com/search?q=%23SalmanKhanBirthday,,%23SalmanKhanBirthday,34075.0,Mumbai,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
51,#AskDhruvRathee,http://twitter.com/search?q=%23AskDhruvRathee,,%23AskDhruvRathee,,Mumbai,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
52,1YEAR OF GOOD NEWWZ,http://twitter.com/search?q=%221YEAR+OF+GOOD+NEWWZ%22,,%221YEAR+OF+GOOD+NEWWZ%22,85481.0,Mumbai,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
53,Queen Shehnaaz Is Back,http://twitter.com/search?q=%22Queen+Shehnaaz+Is+Back%22,,%22Queen+Shehnaaz+Is+Back%22,158286.0,Mumbai,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
54,#NatureCampaign,http://twitter.com/search?q=%23NatureCampaign,,%23NatureCampaign,,Mumbai,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
55,Italy,http://twitter.com/search?q=Italy,,Italy,68212.0,Mumbai,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
56,#ICCAwards2020,http://twitter.com/search?q=%23ICCAwards2020,,%23ICCAwards2020,,Mumbai,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
57,#MillionHeartsForTHALAIVAR,http://twitter.com/search?q=%23MillionHeartsForTHALAIVAR,,%23MillionHeartsForTHALAIVAR,67832.0,Mumbai,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
58,Milan,http://twitter.com/search?q=Milan,,Milan,38024.0,Mumbai,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
59,Magical Khwabeeda,http://twitter.com/search?q=%22Magical+Khwabeeda%22,,%22Magical+Khwabeeda%22,,Mumbai,IN,2020-12-27T16:29:31Z,2020-12-26T19:57:01Z
