,name,url,promoted_content,query,tweet_volume,location,country,as_of,created_at
0,#Pegasus,http://twitter.com/search?q=%23Pegasus,,%23Pegasus,87841.0,India,IN,2021-07-19T00:48:00Z,2021-06-30T19:19:20Z
1,#mondaythoughts,http://twitter.com/search?q=%23mondaythoughts,,%23mondaythoughts,,India,IN,2021-07-19T00:48:00Z,2021-06-30T19:19:20Z
2,#MondayMotivation,http://twitter.com/search?q=%23MondayMotivation,,%23MondayMotivation,,India,IN,2021-07-19T00:48:00Z,2021-06-30T19:19:20Z
3,#MITB,http://twitter.com/search?q=%23MITB,,%23MITB,99014.0,India,IN,2021-07-19T00:48:00Z,2021-06-30T19:19:20Z
4,#राज_लाइब्रेरियन_नियुक्ति_दो,http://twitter.com/search?q=%23%E0%A4%B0%E0%A4%BE%E0%A4%9C_%E0%A4%B2%E0%A4%BE%E0%A4%87%E0%A4%AC%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%A8_%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A5%81%E0%A4%95%E0%A5%8D%E0%A4%A4%E0%A4%BF_%E0%A4%A6%E0%A5%8B,,%23%E0%A4%B0%E0%A4%BE%E0%A4%9C_%E0%A4%B2%E0%A4%BE%E0%A4%87%E0%A4%AC%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%A8_%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A5%81%E0%A4%95%E0%A5%8D%E0%A4%A4%E0%A4%BF_%E0%A4%A6%E0%A5%8B,,India,IN,2021-07-19T00:48:00Z,2021-06-30T19:19:20Z
5,Epitome Of Love Sushant,http://twitter.com/search?q=%22Epitome+Of+Love+Sushant%22,,%22Epitome+Of+Love+Sushant%22,89585.0,India,IN,2021-07-19T00:48:00Z,2021-06-30T19:19:20Z
6,Hamilton,http://twitter.com/search?q=Hamilton,,Hamilton,460985.0,India,IN,2021-07-19T00:48:00Z,2021-06-30T19:19:20Z
7,Lewis,http://twitter.com/search?q=Lewis,,Lewis,409285.0,India,IN,2021-07-19T00:48:00Z,2021-06-30T19:19:20Z
8,kris wu,http://twitter.com/search?q=%22kris+wu%22,,%22kris+wu%22,65906.0,India,IN,2021-07-19T00:48:00Z,2021-06-30T19:19:20Z
9,Nikki,http://twitter.com/search?q=Nikki,,Nikki,31984.0,India,IN,2021-07-19T00:48:00Z,2021-06-30T19:19:20Z
10,Becky,http://twitter.com/search?q=Becky,,Becky,11714.0,India,IN,2021-07-19T00:48:00Z,2021-06-30T19:19:20Z
