,name,url,promoted_content,query,tweet_volume,location,country,as_of,created_at
0,#Uttarakhand,http://twitter.com/search?q=%23Uttarakhand,,%23Uttarakhand,184262.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
1,#8YearsForBBMirchi,http://twitter.com/search?q=%238YearsForBBMirchi,,%238YearsForBBMirchi,71950.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
2,#अब_क्या_बेचूं,http://twitter.com/search?q=%23%E0%A4%85%E0%A4%AC_%E0%A4%95%E0%A5%8D%E0%A4%AF%E0%A4%BE_%E0%A4%AC%E0%A5%87%E0%A4%9A%E0%A5%82%E0%A4%82,,%23%E0%A4%85%E0%A4%AC_%E0%A4%95%E0%A5%8D%E0%A4%AF%E0%A4%BE_%E0%A4%AC%E0%A5%87%E0%A4%9A%E0%A5%82%E0%A4%82,86199.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
3,#MaknaeINOnTopDay,http://twitter.com/search?q=%23MaknaeINOnTopDay,,%23MaknaeINOnTopDay,444468.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
4,#스테이의_영원한_아기빵_생일축하해,http://twitter.com/search?q=%23%EC%8A%A4%ED%85%8C%EC%9D%B4%EC%9D%98_%EC%98%81%EC%9B%90%ED%95%9C_%EC%95%84%EA%B8%B0%EB%B9%B5_%EC%83%9D%EC%9D%BC%EC%B6%95%ED%95%98%ED%95%B4,,%23%EC%8A%A4%ED%85%8C%EC%9D%B4%EC%9D%98_%EC%98%81%EC%9B%90%ED%95%9C_%EC%95%84%EA%B8%B0%EB%B9%B5_%EC%83%9D%EC%9D%BC%EC%B6%95%ED%95%98%ED%95%B4,488774.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
5,RADHESHYAM TEASER ON FEB14,http://twitter.com/search?q=%22RADHESHYAM+TEASER+ON+FEB14%22,,%22RADHESHYAM+TEASER+ON+FEB14%22,54436.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
6,pagal kutta raj thackeray,http://twitter.com/search?q=%22pagal+kutta+raj+thackeray%22,,%22pagal+kutta+raj+thackeray%22,28558.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
7,24YEARS OF JUDWAA,http://twitter.com/search?q=%2224YEARS+OF+JUDWAA%22,,%2224YEARS+OF+JUDWAA%22,21614.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
8,ITBP,http://twitter.com/search?q=ITBP,,ITBP,75610.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
9,Serve Justice To Disha SSR,http://twitter.com/search?q=%22Serve+Justice+To+Disha+SSR%22,,%22Serve+Justice+To+Disha+SSR%22,196391.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
10,DESERVING WINNER RUBINA,http://twitter.com/search?q=%22DESERVING+WINNER+RUBINA%22,,%22DESERVING+WINNER+RUBINA%22,1867607.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
11,GAMER PARAS IS BACK,http://twitter.com/search?q=%22GAMER+PARAS+IS+BACK%22,,%22GAMER+PARAS+IS+BACK%22,22694.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
12,FLY TO MY ROOM,http://twitter.com/search?q=%22FLY+TO+MY+ROOM%22,,%22FLY+TO+MY+ROOM%22,58099.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
13,HAPPY BIRTHDAY JEONGIN,http://twitter.com/search?q=%22HAPPY+BIRTHDAY+JEONGIN%22,,%22HAPPY+BIRTHDAY+JEONGIN%22,259744.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
14,ETERNAL LOVE FOR ASIM,http://twitter.com/search?q=%22ETERNAL+LOVE+FOR+ASIM%22,,%22ETERNAL+LOVE+FOR+ASIM%22,131353.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
15,Rose,http://twitter.com/search?q=Rose,,Rose,507637.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
16,junmyeon,http://twitter.com/search?q=junmyeon,,junmyeon,49869.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
17,Chai,http://twitter.com/search?q=Chai,,Chai,32183.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
18,PROUD OF NIALL,http://twitter.com/search?q=%22PROUD+OF+NIALL%22,,%22PROUD+OF+NIALL%22,36249.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
19,Dia Mirza,http://twitter.com/search?q=%22Dia+Mirza%22,,%22Dia+Mirza%22,,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
20,END MAHIMA TRACK,http://twitter.com/search?q=%22END+MAHIMA+TRACK%22,,%22END+MAHIMA+TRACK%22,,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
21,Himalayan,http://twitter.com/search?q=Himalayan,,Himalayan,10106.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
22,NDRF,http://twitter.com/search?q=NDRF,,NDRF,45646.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
23,Tapovan,http://twitter.com/search?q=Tapovan,,Tapovan,29679.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
24,West Bengal,http://twitter.com/search?q=%22West+Bengal%22,,%22West+Bengal%22,96665.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
25,Haldia,http://twitter.com/search?q=Haldia,,Haldia,60942.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
26,बद्री विशाल,http://twitter.com/search?q=%22%E0%A4%AC%E0%A4%A6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B5%E0%A4%BF%E0%A4%B6%E0%A4%BE%E0%A4%B2%22,,%22%E0%A4%AC%E0%A4%A6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B5%E0%A4%BF%E0%A4%B6%E0%A4%BE%E0%A4%B2%22,,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
27,Assam,http://twitter.com/search?q=Assam,,Assam,94501.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
28,Joshimath,http://twitter.com/search?q=Joshimath,,Joshimath,23993.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
29,West Indies,http://twitter.com/search?q=%22West+Indies%22,,%22West+Indies%22,15051.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
30,I LOVE YUO,http://twitter.com/search?q=%22I+LOVE+YUO%22,,%22I+LOVE+YUO%22,35987.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
31,Dams,http://twitter.com/search?q=Dams,,Dams,18049.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
32,Ganesh,http://twitter.com/search?q=Ganesh,,Ganesh,17860.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
33,महादेव रक्षा,http://twitter.com/search?q=%22%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%A6%E0%A5%87%E0%A4%B5+%E0%A4%B0%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%BE%22,,%22%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%A6%E0%A5%87%E0%A4%B5+%E0%A4%B0%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%BE%22,20459.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
34,SidNaaz MVs IN 100M CLUB,http://twitter.com/search?q=%22SidNaaz+MVs+IN+100M+CLUB%22,,%22SidNaaz+MVs+IN+100M+CLUB%22,316940.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
35,Pant,http://twitter.com/search?q=Pant,,Pant,50570.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
36,Har Har Mahadev,http://twitter.com/search?q=%22Har+Har+Mahadev%22,,%22Har+Har+Mahadev%22,,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
37,Gulab,http://twitter.com/search?q=Gulab,,Gulab,17939.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
38,dehradun,http://twitter.com/search?q=dehradun,,dehradun,,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
39,Nature,http://twitter.com/search?q=Nature,,Nature,150623.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
40,The Person,http://twitter.com/search?q=%22The+Person%22,,%22The+Person%22,544812.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
41,Srinagar,http://twitter.com/search?q=Srinagar,,Srinagar,,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
42,kedarnath,http://twitter.com/search?q=kedarnath,,kedarnath,,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
43,NTPC,http://twitter.com/search?q=NTPC,,NTPC,,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
44,#Ghilli,http://twitter.com/search?q=%23Ghilli,,%23Ghilli,20797.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
45,#OxygenPlayAwards,http://twitter.com/search?q=%23OxygenPlayAwards,,%23OxygenPlayAwards,,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
46,#BE_PARTY,http://twitter.com/search?q=%23BE_PARTY,,%23BE_PARTY,25757.0,India,IN,2021-02-07T16:21:51Z,2021-02-06T17:10:11Z
