,name,url,promoted_content,query,tweet_volume,location,country,as_of,created_at
0,#SorrySheru,http://twitter.com/search?q=%23SorrySheru,,%23SorrySheru,55770.0,India,IN,2021-03-15T08:23:08Z,2021-03-13T23:29:21Z
1,#BankStrike,http://twitter.com/search?q=%23BankStrike,,%23BankStrike,141606.0,India,IN,2021-03-15T08:23:08Z,2021-03-13T23:29:21Z
2,#BankStrike,http://twitter.com/search?q=%23BankStrike,,%23BankStrike,141606.0,India,IN,2021-03-15T08:23:08Z,2021-03-13T23:29:21Z
3,#HappyBirthdayAliaBhatt,http://twitter.com/search?q=%23HappyBirthdayAliaBhatt,,%23HappyBirthdayAliaBhatt,40155.0,India,IN,2021-03-15T08:23:08Z,2021-03-13T23:29:21Z
4,#Sita,http://twitter.com/search?q=%23Sita,,%23Sita,70482.0,India,IN,2021-03-15T08:23:08Z,2021-03-13T23:29:21Z
5,Prioritize Disha SSR Case,http://twitter.com/search?q=%22Prioritize+Disha+SSR+Case%22,,%22Prioritize+Disha+SSR+Case%22,66160.0,India,IN,2021-03-15T08:23:08Z,2021-03-13T23:29:21Z
6,Jhargram,http://twitter.com/search?q=Jhargram,,Jhargram,,India,IN,2021-03-15T08:23:08Z,2021-03-13T23:29:21Z
7,Ahmed,http://twitter.com/search?q=Ahmed,,Ahmed,93864.0,India,IN,2021-03-15T08:23:08Z,2021-03-13T23:29:21Z
8,6000 mAh,http://twitter.com/search?q=%226000+mAh%22,,%226000+mAh%22,,India,IN,2021-03-15T08:23:08Z,2021-03-13T23:29:21Z
9,sajjad afghani,http://twitter.com/search?q=%22sajjad+afghani%22,,%22sajjad+afghani%22,,India,IN,2021-03-15T08:23:08Z,2021-03-13T23:29:21Z
10,15th of March,http://twitter.com/search?q=%2215th+of+March%22,,%2215th+of+March%22,67970.0,India,IN,2021-03-15T08:23:08Z,2021-03-13T23:29:21Z
11,Taylor,http://twitter.com/search?q=Taylor,,Taylor,1854971.0,India,IN,2021-03-15T08:23:08Z,2021-03-13T23:29:21Z
12,Jai NTR,http://twitter.com/search?q=%22Jai+NTR%22,,%22Jai+NTR%22,,India,IN,2021-03-15T08:23:08Z,2021-03-13T23:29:21Z
