,name,url,promoted_content,query,tweet_volume,location,country,as_of,created_at
0,#KargilVijayDiwas,http://twitter.com/search?q=%23KargilVijayDiwas,,%23KargilVijayDiwas,153531.0,India,IN,2020-07-26T08:10:11Z,2020-07-26T08:02:28Z
1,#SpeakUpForDemocracy,http://twitter.com/search?q=%23SpeakUpForDemocracy,,%23SpeakUpForDemocracy,153984.0,India,IN,2020-07-26T08:10:11Z,2020-07-26T08:02:28Z
2,#MannKiBaat,http://twitter.com/search?q=%23MannKiBaat,,%23MannKiBaat,84930.0,India,IN,2020-07-26T08:10:11Z,2020-07-26T08:02:28Z
3,कारगिल विजय,http://twitter.com/search?q=%22%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A4%97%E0%A4%BF%E0%A4%B2+%E0%A4%B5%E0%A4%BF%E0%A4%9C%E0%A4%AF%22,,%22%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A4%97%E0%A4%BF%E0%A4%B2+%E0%A4%B5%E0%A4%BF%E0%A4%9C%E0%A4%AF%22,136494.0,India,IN,2020-07-26T08:10:11Z,2020-07-26T08:02:28Z
4,#ScrapEIA2020,http://twitter.com/search?q=%23ScrapEIA2020,,%23ScrapEIA2020,50436.0,India,IN,2020-07-26T08:10:11Z,2020-07-26T08:02:28Z
5,#sundayvibes,http://twitter.com/search?q=%23sundayvibes,,%23sundayvibes,13362.0,India,IN,2020-07-26T08:10:11Z,2020-07-26T08:02:28Z
6,BB TANHAJI ON STARPLUS,http://twitter.com/search?q=%22BB+TANHAJI+ON+STARPLUS%22,,%22BB+TANHAJI+ON+STARPLUS%22,24146.0,India,IN,2020-07-26T08:10:11Z,2020-07-26T08:02:28Z
7,कारगिल युद्ध,http://twitter.com/search?q=%22%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A4%97%E0%A4%BF%E0%A4%B2+%E0%A4%AF%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%A7%22,,%22%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A4%97%E0%A4%BF%E0%A4%B2+%E0%A4%AF%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%A7%22,31289.0,India,IN,2020-07-26T08:10:11Z,2020-07-26T08:02:28Z
8,Hanuman Chalisa,http://twitter.com/search?q=%22Hanuman+Chalisa%22,,%22Hanuman+Chalisa%22,,India,IN,2020-07-26T08:10:11Z,2020-07-26T08:02:28Z
9,Soldiers,http://twitter.com/search?q=Soldiers,,Soldiers,142404.0,India,IN,2020-07-26T08:10:11Z,2020-07-26T08:02:28Z
10,Jubilee Hills,http://twitter.com/search?q=%22Jubilee+Hills%22,,%22Jubilee+Hills%22,,India,IN,2020-07-26T08:10:11Z,2020-07-26T08:02:28Z
11,Piano,http://twitter.com/search?q=Piano,,Piano,56877.0,India,IN,2020-07-26T08:10:11Z,2020-07-26T08:02:28Z
12,आजम खान,http://twitter.com/search?q=%22%E0%A4%86%E0%A4%9C%E0%A4%AE+%E0%A4%96%E0%A4%BE%E0%A4%A8%22,,%22%E0%A4%86%E0%A4%9C%E0%A4%AE+%E0%A4%96%E0%A4%BE%E0%A4%A8%22,,India,IN,2020-07-26T08:10:11Z,2020-07-26T08:02:28Z
13,Jai Bharat,http://twitter.com/search?q=%22Jai+Bharat%22,,%22Jai+Bharat%22,,India,IN,2020-07-26T08:10:11Z,2020-07-26T08:02:28Z
