,name,url,promoted_content,query,tweet_volume,location,country,as_of,created_at
0,#GargleForHygiene,http://twitter.com/search?q=%23GargleForHygiene,,%23GargleForHygiene,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
1,#CabinetReshuffle,http://twitter.com/search?q=%23CabinetReshuffle,,%23CabinetReshuffle,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
2,#ChurakeDilMera,http://twitter.com/search?q=%23ChurakeDilMera,,%23ChurakeDilMera,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
3,AshokePandit PinkiPramanik,http://twitter.com/search?q=%22AshokePandit+PinkiPramanik%22,,%22AshokePandit+PinkiPramanik%22,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
4,#HappyBirthdayRanveerSingh,http://twitter.com/search?q=%23HappyBirthdayRanveerSingh,,%23HappyBirthdayRanveerSingh,11165.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
5,TheConversion Poster,http://twitter.com/search?q=%22TheConversion+Poster%22,,%22TheConversion+Poster%22,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
6,#RockyAurRaniKiPremKahani,http://twitter.com/search?q=%23RockyAurRaniKiPremKahani,,%23RockyAurRaniKiPremKahani,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
7,DISHA SSR JUSTICE AWAITED,http://twitter.com/search?q=%22DISHA+SSR+JUSTICE+AWAITED%22,,%22DISHA+SSR+JUSTICE+AWAITED%22,13427.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
8,Governor of Karnataka,http://twitter.com/search?q=%22Governor+of+Karnataka%22,,%22Governor+of+Karnataka%22,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
9,Five Years Of Sidneet,http://twitter.com/search?q=%22Five+Years+Of+Sidneet%22,,%22Five+Years+Of+Sidneet%22,19000.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
10,FILHAAL2 SONG DAY,http://twitter.com/search?q=%22FILHAAL2+SONG+DAY%22,,%22FILHAAL2+SONG+DAY%22,21418.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
11,Thawarchand Gehlot,http://twitter.com/search?q=%22Thawarchand+Gehlot%22,,%22Thawarchand+Gehlot%22,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
12,Q. What,http://twitter.com/search?q=%22Q.+What%22,,%22Q.+What%22,16895.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
13,PUSHPA SHOOT RESUMES,http://twitter.com/search?q=%22PUSHPA+SHOOT+RESUMES%22,,%22PUSHPA+SHOOT+RESUMES%22,28510.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
14,मोदी सरकार,http://twitter.com/search?q=%22%E0%A4%AE%E0%A5%8B%E0%A4%A6%E0%A5%80+%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0%22,,%22%E0%A4%AE%E0%A5%8B%E0%A4%A6%E0%A5%80+%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0%22,51572.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
15,Ramesh Bais,http://twitter.com/search?q=%22Ramesh+Bais%22,,%22Ramesh+Bais%22,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
16,SLOT CHANGE FOR SAAKK,http://twitter.com/search?q=%22SLOT+CHANGE+FOR+SAAKK%22,,%22SLOT+CHANGE+FOR+SAAKK%22,257692.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
17,His Holiness,http://twitter.com/search?q=%22His+Holiness%22,,%22His+Holiness%22,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
18,cowboys,http://twitter.com/search?q=cowboys,,cowboys,15708.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
19,श्यामा प्रसाद मुखर्जी,http://twitter.com/search?q=%22%E0%A4%B6%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AE%E0%A4%BE+%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B8%E0%A4%BE%E0%A4%A6+%E0%A4%AE%E0%A5%81%E0%A4%96%E0%A4%B0%E0%A5%8D%E0%A4%9C%E0%A5%80%22,,%22%E0%A4%B6%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AE%E0%A4%BE+%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B8%E0%A4%BE%E0%A4%A6+%E0%A4%AE%E0%A5%81%E0%A4%96%E0%A4%B0%E0%A5%8D%E0%A4%9C%E0%A5%80%22,43940.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
20,भारतीय जनसंघ,http://twitter.com/search?q=%22%E0%A4%AD%E0%A4%BE%E0%A4%B0%E0%A4%A4%E0%A5%80%E0%A4%AF+%E0%A4%9C%E0%A4%A8%E0%A4%B8%E0%A4%82%E0%A4%98%22,,%22%E0%A4%AD%E0%A4%BE%E0%A4%B0%E0%A4%A4%E0%A5%80%E0%A4%AF+%E0%A4%9C%E0%A4%A8%E0%A4%B8%E0%A4%82%E0%A4%98%22,16239.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
21,SAIRAT RECREATES BOLLYWOOD,http://twitter.com/search?q=%22SAIRAT+RECREATES+BOLLYWOOD%22,,%22SAIRAT+RECREATES+BOLLYWOOD%22,30122.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
22,बाबू जगजीवन राम,http://twitter.com/search?q=%22%E0%A4%AC%E0%A4%BE%E0%A4%AC%E0%A5%82+%E0%A4%9C%E0%A4%97%E0%A4%9C%E0%A5%80%E0%A4%B5%E0%A4%A8+%E0%A4%B0%E0%A4%BE%E0%A4%AE%22,,%22%E0%A4%AC%E0%A4%BE%E0%A4%AC%E0%A5%82+%E0%A4%9C%E0%A4%97%E0%A4%9C%E0%A5%80%E0%A4%B5%E0%A4%A8+%E0%A4%B0%E0%A4%BE%E0%A4%AE%22,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
23,Rath Yatra,http://twitter.com/search?q=%22Rath+Yatra%22,,%22Rath+Yatra%22,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
24,Vin Diesel,http://twitter.com/search?q=%22Vin+Diesel%22,,%22Vin+Diesel%22,88543.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
25,Tibet,http://twitter.com/search?q=Tibet,,Tibet,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
26,Bharatiya Jana Sangh,http://twitter.com/search?q=%22Bharatiya+Jana+Sangh%22,,%22Bharatiya+Jana+Sangh%22,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
27,Delimitation Commission,http://twitter.com/search?q=%22Delimitation+Commission%22,,%22Delimitation+Commission%22,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
28,Jayanti,http://twitter.com/search?q=Jayanti,,Jayanti,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
29,Justice For Bapuji,http://twitter.com/search?q=%22Justice+For+Bapuji%22,,%22Justice+For+Bapuji%22,30906.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
30,STAY THIS FRIDAY,http://twitter.com/search?q=%22STAY+THIS+FRIDAY%22,,%22STAY+THIS+FRIDAY%22,26417.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
31,Maoist,http://twitter.com/search?q=Maoist,,Maoist,29807.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
32,IMLIE HITS TWO HUNDRED,http://twitter.com/search?q=%22IMLIE+HITS+TWO+HUNDRED%22,,%22IMLIE+HITS+TWO+HUNDRED%22,50915.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
33,Birth Anniversary,http://twitter.com/search?q=%22Birth+Anniversary%22,,%22Birth+Anniversary%22,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
34,Rajya Sabha,http://twitter.com/search?q=%22Rajya+Sabha%22,,%22Rajya+Sabha%22,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
35,श्री हनुमान,http://twitter.com/search?q=%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B9%E0%A4%A8%E0%A5%81%E0%A4%AE%E0%A4%BE%E0%A4%A8%22,,%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B9%E0%A4%A8%E0%A5%81%E0%A4%AE%E0%A4%BE%E0%A4%A8%22,16945.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
36,Delhi High Court,http://twitter.com/search?q=%22Delhi+High+Court%22,,%22Delhi+High+Court%22,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
37,Swamy,http://twitter.com/search?q=Swamy,,Swamy,200070.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
38,ICONIC ERA OF IMMJ II,http://twitter.com/search?q=%22ICONIC+ERA+OF+IMMJ+II%22,,%22ICONIC+ERA+OF+IMMJ+II%22,185402.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
39,Terrorist,http://twitter.com/search?q=Terrorist,,Terrorist,93608.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
40,Bail,http://twitter.com/search?q=Bail,,Bail,79816.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
41,Neymar,http://twitter.com/search?q=Neymar,,Neymar,240370.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
42,#KejriwalCares,http://twitter.com/search?q=%23KejriwalCares,,%23KejriwalCares,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
43,#tuesdaymotivations,http://twitter.com/search?q=%23tuesdaymotivations,,%23tuesdaymotivations,24949.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
44,#tuesdayvibe,http://twitter.com/search?q=%23tuesdayvibe,,%23tuesdayvibe,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
45,#Fail_मोदी_सरकार,http://twitter.com/search?q=%23Fail_%E0%A4%AE%E0%A5%8B%E0%A4%A6%E0%A5%80_%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0,,%23Fail_%E0%A4%AE%E0%A5%8B%E0%A4%A6%E0%A5%80_%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
46,#SidneetiansDay,http://twitter.com/search?q=%23SidneetiansDay,,%23SidneetiansDay,22496.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
47,#DalaiLamaBirthday,http://twitter.com/search?q=%23DalaiLamaBirthday,,%23DalaiLamaBirthday,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
48,#5YearsOfSultan,http://twitter.com/search?q=%235YearsOfSultan,,%235YearsOfSultan,,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
49,#TheDishulWedding,http://twitter.com/search?q=%23TheDishulWedding,,%23TheDishulWedding,16566.0,India,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
50,#GargleForHygiene,http://twitter.com/search?q=%23GargleForHygiene,,%23GargleForHygiene,,Mumbai,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
51,ashokepandit pinkipramanik,http://twitter.com/search?q=%22ashokepandit+pinkipramanik%22,,%22ashokepandit+pinkipramanik%22,,Mumbai,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
52,#ChurakeDilMera,http://twitter.com/search?q=%23ChurakeDilMera,,%23ChurakeDilMera,,Mumbai,IN,2021-07-06T08:16:13Z,2021-07-05T11:16:14Z
