,name,url,promoted_content,query,tweet_volume,location,country,as_of,created_at
0,#HappyBirthdayNamjoon,http://twitter.com/search?q=%23HappyBirthdayNamjoon,,%23HappyBirthdayNamjoon,1355863.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
1,#MUNNEW,http://twitter.com/search?q=%23MUNNEW,,%23MUNNEW,339116.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
2,#OurHealingPebbleRM,http://twitter.com/search?q=%23OurHealingPebbleRM,,%23OurHealingPebbleRM,659556.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
3,#WeLiveSoWeLoveNamu,http://twitter.com/search?q=%23WeLiveSoWeLoveNamu,,%23WeLiveSoWeLoveNamu,633183.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
4,#Vijayrupani,http://twitter.com/search?q=%23Vijayrupani,,%23Vijayrupani,24317.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
5,Ronaldo,http://twitter.com/search?q=Ronaldo,,Ronaldo,1147559.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
6,Ganesh Chaturthi,http://twitter.com/search?q=%22Ganesh+Chaturthi%22,,%22Ganesh+Chaturthi%22,27258.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
7,Insaaf 4 Sushant,http://twitter.com/search?q=%22Insaaf+4+Sushant%22,,%22Insaaf+4+Sushant%22,115210.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
8,राष्ट्रीय स्वयंसेवक संघ,http://twitter.com/search?q=%22%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%AF+%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%AF%E0%A4%82%E0%A4%B8%E0%A5%87%E0%A4%B5%E0%A4%95+%E0%A4%B8%E0%A4%82%E0%A4%98%22,,%22%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%AF+%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%AF%E0%A4%82%E0%A4%B8%E0%A5%87%E0%A4%B5%E0%A4%95+%E0%A4%B8%E0%A4%82%E0%A4%98%22,27392.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
9,Holly,http://twitter.com/search?q=Holly,,Holly,58952.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
10,Read Jeene Ki Raah,http://twitter.com/search?q=%22Read+Jeene+Ki+Raah%22,,%22Read+Jeene+Ki+Raah%22,142406.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
11,Newcastle,http://twitter.com/search?q=Newcastle,,Newcastle,231530.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
12,file 302 in ssr murder case,http://twitter.com/search?q=%22file+302+in+ssr+murder+case%22,,%22file+302+in+ssr+murder+case%22,74809.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
13,ऋषि पंचमी,http://twitter.com/search?q=%22%E0%A4%8B%E0%A4%B7%E0%A4%BF+%E0%A4%AA%E0%A4%82%E0%A4%9A%E0%A4%AE%E0%A5%80%22,,%22%E0%A4%8B%E0%A4%B7%E0%A4%BF+%E0%A4%AA%E0%A4%82%E0%A4%9A%E0%A4%AE%E0%A5%80%22,11238.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
14,Saul,http://twitter.com/search?q=Saul,,Saul,64211.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
15,Pogba,http://twitter.com/search?q=Pogba,,Pogba,165004.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
16,Old Trafford,http://twitter.com/search?q=%22Old+Trafford%22,,%22Old+Trafford%22,191360.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
17,AUDIENCE LOVES DIVYA,http://twitter.com/search?q=%22AUDIENCE+LOVES+DIVYA%22,,%22AUDIENCE+LOVES+DIVYA%22,374651.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
18,Spurs,http://twitter.com/search?q=Spurs,,Spurs,69020.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
19,Kovacic,http://twitter.com/search?q=Kovacic,,Kovacic,36822.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
20,Chicago,http://twitter.com/search?q=Chicago,,Chicago,97818.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
21,KKK FINALIST DIVYANKA,http://twitter.com/search?q=%22KKK+FINALIST+DIVYANKA%22,,%22KKK+FINALIST+DIVYANKA%22,21902.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
22,Grand Slam,http://twitter.com/search?q=%22Grand+Slam%22,,%22Grand+Slam%22,56880.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
23,suga hyung,http://twitter.com/search?q=%22suga+hyung%22,,%22suga+hyung%22,42038.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
24,Aunty ji,http://twitter.com/search?q=%22Aunty+ji%22,,%22Aunty+ji%22,,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
25,Lukaku,http://twitter.com/search?q=Lukaku,,Lukaku,146731.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
26,Wimbledon,http://twitter.com/search?q=Wimbledon,,Wimbledon,27942.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
27,karl,http://twitter.com/search?q=karl,,karl,35721.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
28,Dallas,http://twitter.com/search?q=Dallas,,Dallas,51833.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
29,Chelsea,http://twitter.com/search?q=Chelsea,,Chelsea,180493.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
30,Tennis,http://twitter.com/search?q=Tennis,,Tennis,128150.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
31,Mendy,http://twitter.com/search?q=Mendy,,Mendy,51034.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
32,Peter Drury,http://twitter.com/search?q=%22Peter+Drury%22,,%22Peter+Drury%22,34933.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
33,Sanskrit,http://twitter.com/search?q=Sanskrit,,Sanskrit,,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
34,Alonso,http://twitter.com/search?q=Alonso,,Alonso,28545.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
35,Tulsi,http://twitter.com/search?q=Tulsi,,Tulsi,,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
36,Hinduism,http://twitter.com/search?q=Hinduism,,Hinduism,45691.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
37,श्री राम,http://twitter.com/search?q=%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B0%E0%A4%BE%E0%A4%AE%22,,%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B0%E0%A4%BE%E0%A4%AE%22,86139.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
38,श्री कृष्ण,http://twitter.com/search?q=%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%95%E0%A5%83%E0%A4%B7%E0%A5%8D%E0%A4%A3%22,,%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%95%E0%A5%83%E0%A4%B7%E0%A5%8D%E0%A4%A3%22,13077.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
39,Happiest Birthday,http://twitter.com/search?q=%22Happiest+Birthday%22,,%22Happiest+Birthday%22,64096.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
40,Genuinely,http://twitter.com/search?q=Genuinely,,Genuinely,57985.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
41,Ligue 1,http://twitter.com/search?q=%22Ligue+1%22,,%22Ligue+1%22,15946.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
42,Donald Trump,http://twitter.com/search?q=%22Donald+Trump%22,,%22Donald+Trump%22,117413.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
43,NFTs,http://twitter.com/search?q=NFTs,,NFTs,399738.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
44,woozi,http://twitter.com/search?q=woozi,,woozi,12913.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
45,Suprabhat,http://twitter.com/search?q=Suprabhat,,Suprabhat,,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
46,श्री राधे,http://twitter.com/search?q=%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B0%E0%A4%BE%E0%A4%A7%E0%A5%87%22,,%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B0%E0%A4%BE%E0%A4%A7%E0%A5%87%22,,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
47,Azpi,http://twitter.com/search?q=Azpi,,Azpi,,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
48,Hijab,http://twitter.com/search?q=Hijab,,Hijab,21318.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
49,Iraq,http://twitter.com/search?q=Iraq,,Iraq,74379.0,India,IN,2021-09-12T00:49:55Z,2021-08-29T18:44:59Z
50,#HappyBirthdayNamjoon,http://twitter.com/search?q=%23HappyBirthdayNamjoon,,%23HappyBirthdayNamjoon,1355863.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
51,#MUNNEW,http://twitter.com/search?q=%23MUNNEW,,%23MUNNEW,339116.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
52,#OurHealingPebbleRM,http://twitter.com/search?q=%23OurHealingPebbleRM,,%23OurHealingPebbleRM,659556.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
53,#WeLiveSoWeLoveNamu,http://twitter.com/search?q=%23WeLiveSoWeLoveNamu,,%23WeLiveSoWeLoveNamu,633183.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
54,#Vijayrupani,http://twitter.com/search?q=%23Vijayrupani,,%23Vijayrupani,24317.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
55,Ronaldo,http://twitter.com/search?q=Ronaldo,,Ronaldo,1147559.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
56,Ganesh Chaturthi,http://twitter.com/search?q=%22Ganesh+Chaturthi%22,,%22Ganesh+Chaturthi%22,27264.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
57,Insaaf 4 Sushant,http://twitter.com/search?q=%22Insaaf+4+Sushant%22,,%22Insaaf+4+Sushant%22,115210.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
58,राष्ट्रीय स्वयंसेवक संघ,http://twitter.com/search?q=%22%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%AF+%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%AF%E0%A4%82%E0%A4%B8%E0%A5%87%E0%A4%B5%E0%A4%95+%E0%A4%B8%E0%A4%82%E0%A4%98%22,,%22%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%AF+%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%AF%E0%A4%82%E0%A4%B8%E0%A5%87%E0%A4%B5%E0%A4%95+%E0%A4%B8%E0%A4%82%E0%A4%98%22,27393.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
59,Holly,http://twitter.com/search?q=Holly,,Holly,58952.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
60,Read Jeene Ki Raah,http://twitter.com/search?q=%22Read+Jeene+Ki+Raah%22,,%22Read+Jeene+Ki+Raah%22,142406.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
61,Newcastle,http://twitter.com/search?q=Newcastle,,Newcastle,231530.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
62,file 302 in ssr murder case,http://twitter.com/search?q=%22file+302+in+ssr+murder+case%22,,%22file+302+in+ssr+murder+case%22,74809.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
63,ऋषि पंचमी,http://twitter.com/search?q=%22%E0%A4%8B%E0%A4%B7%E0%A4%BF+%E0%A4%AA%E0%A4%82%E0%A4%9A%E0%A4%AE%E0%A5%80%22,,%22%E0%A4%8B%E0%A4%B7%E0%A4%BF+%E0%A4%AA%E0%A4%82%E0%A4%9A%E0%A4%AE%E0%A5%80%22,11238.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
64,Saul,http://twitter.com/search?q=Saul,,Saul,64213.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
65,Pogba,http://twitter.com/search?q=Pogba,,Pogba,165004.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
66,Old Trafford,http://twitter.com/search?q=%22Old+Trafford%22,,%22Old+Trafford%22,191360.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
67,AUDIENCE LOVES DIVYA,http://twitter.com/search?q=%22AUDIENCE+LOVES+DIVYA%22,,%22AUDIENCE+LOVES+DIVYA%22,374651.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
68,Spurs,http://twitter.com/search?q=Spurs,,Spurs,69020.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
69,Kovacic,http://twitter.com/search?q=Kovacic,,Kovacic,36822.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
70,Chicago,http://twitter.com/search?q=Chicago,,Chicago,97818.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
71,KKK FINALIST DIVYANKA,http://twitter.com/search?q=%22KKK+FINALIST+DIVYANKA%22,,%22KKK+FINALIST+DIVYANKA%22,21902.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
72,Grand Slam,http://twitter.com/search?q=%22Grand+Slam%22,,%22Grand+Slam%22,56909.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
73,suga hyung,http://twitter.com/search?q=%22suga+hyung%22,,%22suga+hyung%22,42000.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
74,Aunty ji,http://twitter.com/search?q=%22Aunty+ji%22,,%22Aunty+ji%22,,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
75,Lukaku,http://twitter.com/search?q=Lukaku,,Lukaku,146704.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
76,Wimbledon,http://twitter.com/search?q=Wimbledon,,Wimbledon,27942.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
77,karl,http://twitter.com/search?q=karl,,karl,35721.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
78,Dallas,http://twitter.com/search?q=Dallas,,Dallas,51833.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
79,Chelsea,http://twitter.com/search?q=Chelsea,,Chelsea,180493.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
80,Tennis,http://twitter.com/search?q=Tennis,,Tennis,128150.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
81,Mendy,http://twitter.com/search?q=Mendy,,Mendy,51034.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
82,Peter Drury,http://twitter.com/search?q=%22Peter+Drury%22,,%22Peter+Drury%22,34922.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
83,Hinduism,http://twitter.com/search?q=Hinduism,,Hinduism,45691.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
84,Alonso,http://twitter.com/search?q=Alonso,,Alonso,28545.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
85,Tulsi,http://twitter.com/search?q=Tulsi,,Tulsi,,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
86,श्री कृष्ण,http://twitter.com/search?q=%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%95%E0%A5%83%E0%A4%B7%E0%A5%8D%E0%A4%A3%22,,%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%95%E0%A5%83%E0%A4%B7%E0%A5%8D%E0%A4%A3%22,13077.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
87,श्री राम,http://twitter.com/search?q=%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B0%E0%A4%BE%E0%A4%AE%22,,%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B0%E0%A4%BE%E0%A4%AE%22,86139.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
88,Happiest Birthday,http://twitter.com/search?q=%22Happiest+Birthday%22,,%22Happiest+Birthday%22,64096.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
89,Genuinely,http://twitter.com/search?q=Genuinely,,Genuinely,57985.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
90,Ligue 1,http://twitter.com/search?q=%22Ligue+1%22,,%22Ligue+1%22,15946.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
91,Donald Trump,http://twitter.com/search?q=%22Donald+Trump%22,,%22Donald+Trump%22,117413.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
92,NFTs,http://twitter.com/search?q=NFTs,,NFTs,399738.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
93,woozi,http://twitter.com/search?q=woozi,,woozi,12913.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
94,Suprabhat,http://twitter.com/search?q=Suprabhat,,Suprabhat,,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
95,श्री राधे,http://twitter.com/search?q=%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B0%E0%A4%BE%E0%A4%A7%E0%A5%87%22,,%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B0%E0%A4%BE%E0%A4%A7%E0%A5%87%22,,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
96,Azpi,http://twitter.com/search?q=Azpi,,Azpi,,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
97,Hijab,http://twitter.com/search?q=Hijab,,Hijab,21314.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
98,North America Universities,http://twitter.com/search?q=%22North+America+Universities%22,,%22North+America+Universities%22,,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
99,Iraq,http://twitter.com/search?q=Iraq,,Iraq,74437.0,Mumbai,IN,2021-09-12T00:49:56Z,2021-08-29T18:44:59Z
100,#HappyBirthdayNamjoon,http://twitter.com/search?q=%23HappyBirthdayNamjoon,,%23HappyBirthdayNamjoon,1359205.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
101,#MUNNEW,http://twitter.com/search?q=%23MUNNEW,,%23MUNNEW,339335.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
102,#OurHealingPebbleRM,http://twitter.com/search?q=%23OurHealingPebbleRM,,%23OurHealingPebbleRM,661882.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
103,#WeLiveSoWeLoveNamu,http://twitter.com/search?q=%23WeLiveSoWeLoveNamu,,%23WeLiveSoWeLoveNamu,635406.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
104,#aRMysEternaLove,http://twitter.com/search?q=%23aRMysEternaLove,,%23aRMysEternaLove,565254.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
105,Ronaldo,http://twitter.com/search?q=Ronaldo,,Ronaldo,1148758.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
106,Ganesh Chaturthi,http://twitter.com/search?q=%22Ganesh+Chaturthi%22,,%22Ganesh+Chaturthi%22,27277.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
107,Insaaf 4 Sushant,http://twitter.com/search?q=%22Insaaf+4+Sushant%22,,%22Insaaf+4+Sushant%22,115180.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
108,राष्ट्रीय स्वयंसेवक संघ,http://twitter.com/search?q=%22%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%AF+%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%AF%E0%A4%82%E0%A4%B8%E0%A5%87%E0%A4%B5%E0%A4%95+%E0%A4%B8%E0%A4%82%E0%A4%98%22,,%22%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%AF+%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%AF%E0%A4%82%E0%A4%B8%E0%A5%87%E0%A4%B5%E0%A4%95+%E0%A4%B8%E0%A4%82%E0%A4%98%22,27392.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
109,Holly,http://twitter.com/search?q=Holly,,Holly,59059.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
110,Read Jeene Ki Raah,http://twitter.com/search?q=%22Read+Jeene+Ki+Raah%22,,%22Read+Jeene+Ki+Raah%22,142439.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
111,Newcastle,http://twitter.com/search?q=Newcastle,,Newcastle,231766.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
112,file 302 in ssr murder case,http://twitter.com/search?q=%22file+302+in+ssr+murder+case%22,,%22file+302+in+ssr+murder+case%22,74812.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
113,ऋषि पंचमी,http://twitter.com/search?q=%22%E0%A4%8B%E0%A4%B7%E0%A4%BF+%E0%A4%AA%E0%A4%82%E0%A4%9A%E0%A4%AE%E0%A5%80%22,,%22%E0%A4%8B%E0%A4%B7%E0%A4%BF+%E0%A4%AA%E0%A4%82%E0%A4%9A%E0%A4%AE%E0%A5%80%22,11238.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
114,Saul,http://twitter.com/search?q=Saul,,Saul,64221.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
115,Old Trafford,http://twitter.com/search?q=%22Old+Trafford%22,,%22Old+Trafford%22,191457.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
116,Pogba,http://twitter.com/search?q=Pogba,,Pogba,165038.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
117,AUDIENCE LOVES DIVYA,http://twitter.com/search?q=%22AUDIENCE+LOVES+DIVYA%22,,%22AUDIENCE+LOVES+DIVYA%22,374693.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
118,Spurs,http://twitter.com/search?q=Spurs,,Spurs,69048.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
119,Chicago,http://twitter.com/search?q=Chicago,,Chicago,97853.0,Chennai,IN,2021-09-12T00:49:56Z,2021-08-29T19:09:15Z
