,name,url,promoted_content,query,tweet_volume,location,country,as_of,created_at
0,#pakveng,http://twitter.com/search?q=%23pakveng,,%23pakveng,51315.0,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
1,#kkrvrcb,http://twitter.com/search?q=%23kkrvrcb,,%23kkrvrcb,50678.0,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
2,#ios15,http://twitter.com/search?q=%23ios15,,%23ios15,173319.0,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
3,sushant singh rajput forever,http://twitter.com/search?q=%22sushant+singh+rajput+forever%22,,%22sushant+singh+rajput+forever%22,58355.0,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
4,#armyvaccinatedtoo,http://twitter.com/search?q=%23armyvaccinatedtoo,,%23armyvaccinatedtoo,34726.0,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
5,#happysunshinedae,http://twitter.com/search?q=%23happysunshinedae,,%23happysunshinedae,829151.0,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
6,sushant a true humanitarian,http://twitter.com/search?q=%22sushant+a+true+humanitarian%22,,%22sushant+a+true+humanitarian%22,41076.0,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
7,venkatesh iyer,http://twitter.com/search?q=%22venkatesh+iyer%22,,%22venkatesh+iyer%22,,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
8,gill,http://twitter.com/search?q=gill,,gill,27767.0,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
9,dilip ghosh,http://twitter.com/search?q=%22dilip+ghosh%22,,%22dilip+ghosh%22,,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
10,wasim,http://twitter.com/search?q=wasim,,wasim,,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
11,vintage rcb,http://twitter.com/search?q=%22vintage+rcb%22,,%22vintage+rcb%22,,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
12,deserving winner divyanka,http://twitter.com/search?q=%22deserving+winner+divyanka%22,,%22deserving+winner+divyanka%22,39914.0,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
13,maan the journey begins,http://twitter.com/search?q=%22maan+the+journey+begins%22,,%22maan+the+journey+begins%22,10590.0,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
14,varun chakravarthy,http://twitter.com/search?q=%22varun+chakravarthy%22,,%22varun+chakravarthy%22,,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
15,jamieson,http://twitter.com/search?q=jamieson,,jamieson,,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
16,national vice president,http://twitter.com/search?q=%22national+vice+president%22,,%22national+vice+president%22,,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
17,after new zealand,http://twitter.com/search?q=%22after+new+zealand%22,,%22after+new+zealand%22,,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
18,we love shara,http://twitter.com/search?q=%22we+love+shara%22,,%22we+love+shara%22,56478.0,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
19,ha ha ha matic,http://twitter.com/search?q=%22ha+ha+ha+matic%22,,%22ha+ha+ha+matic%22,,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
20,#btsatunga,http://twitter.com/search?q=%23btsatunga,,%23btsatunga,2356708.0,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
21,#narendragiri,http://twitter.com/search?q=%23narendragiri,,%23narendragiri,10216.0,India,IN,2021-09-21T08:17:26Z,2021-09-19T13:08:31Z
22,#pakveng,http://twitter.com/search?q=%23pakveng,,%23pakveng,51315.0,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
23,#kkrvrcb,http://twitter.com/search?q=%23kkrvrcb,,%23kkrvrcb,50678.0,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
24,#ios15,http://twitter.com/search?q=%23ios15,,%23ios15,173319.0,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
25,sushant singh rajput forever,http://twitter.com/search?q=%22sushant+singh+rajput+forever%22,,%22sushant+singh+rajput+forever%22,58355.0,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
26,#armyvaccinatedtoo,http://twitter.com/search?q=%23armyvaccinatedtoo,,%23armyvaccinatedtoo,34726.0,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
27,#happysunshinedae,http://twitter.com/search?q=%23happysunshinedae,,%23happysunshinedae,829151.0,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
28,sushant a true humanitarian,http://twitter.com/search?q=%22sushant+a+true+humanitarian%22,,%22sushant+a+true+humanitarian%22,41076.0,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
29,venkatesh iyer,http://twitter.com/search?q=%22venkatesh+iyer%22,,%22venkatesh+iyer%22,,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
30,gill,http://twitter.com/search?q=gill,,gill,27781.0,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
31,dilip ghosh,http://twitter.com/search?q=%22dilip+ghosh%22,,%22dilip+ghosh%22,,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
32,wasim,http://twitter.com/search?q=wasim,,wasim,,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
33,vintage rcb,http://twitter.com/search?q=%22vintage+rcb%22,,%22vintage+rcb%22,,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
34,deserving winner divyanka,http://twitter.com/search?q=%22deserving+winner+divyanka%22,,%22deserving+winner+divyanka%22,39914.0,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
35,maan the journey begins,http://twitter.com/search?q=%22maan+the+journey+begins%22,,%22maan+the+journey+begins%22,10590.0,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
36,varun chakravarthy,http://twitter.com/search?q=%22varun+chakravarthy%22,,%22varun+chakravarthy%22,,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
37,jamieson,http://twitter.com/search?q=jamieson,,jamieson,,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
38,national vice president,http://twitter.com/search?q=%22national+vice+president%22,,%22national+vice+president%22,,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
39,after new zealand,http://twitter.com/search?q=%22after+new+zealand%22,,%22after+new+zealand%22,,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
40,we love shara,http://twitter.com/search?q=%22we+love+shara%22,,%22we+love+shara%22,56478.0,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
41,ha ha ha matic,http://twitter.com/search?q=%22ha+ha+ha+matic%22,,%22ha+ha+ha+matic%22,,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
42,#btsatunga,http://twitter.com/search?q=%23btsatunga,,%23btsatunga,2356708.0,Mumbai,IN,2021-09-21T08:17:27Z,2021-09-19T13:08:31Z
