,name,url,promoted_content,query,tweet_volume,location,country,as_of,created_at
0,#IStandWithAnshulSaxena,http://twitter.com/search?q=%23IStandWithAnshulSaxena,,%23IStandWithAnshulSaxena,39912.0,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
1,#SolutionToSuicide,http://twitter.com/search?q=%23SolutionToSuicide,,%23SolutionToSuicide,353990.0,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
2,Read Jeene Ki Raah,http://twitter.com/search?q=%22Read+Jeene+Ki+Raah%22,,%22Read+Jeene+Ki+Raah%22,289600.0,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
3,#OperationNEET,http://twitter.com/search?q=%23OperationNEET,,%23OperationNEET,78990.0,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
4,#5YearsWithMAMA,http://twitter.com/search?q=%235YearsWithMAMA,,%235YearsWithMAMA,49779.0,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
5,#MAMA5주년축하해,http://twitter.com/search?q=%23MAMA5%EC%A3%BC%EB%85%84%EC%B6%95%ED%95%98%ED%95%B4,,%23MAMA5%EC%A3%BC%EB%85%84%EC%B6%95%ED%95%98%ED%95%B4,46159.0,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
6,Pray To Bappa 4 Disha SSR,http://twitter.com/search?q=%22Pray+To+Bappa+4+Disha+SSR%22,,%22Pray+To+Bappa+4+Disha+SSR%22,15568.0,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
7,J-HOPE ANGELIC VOCALS,http://twitter.com/search?q=%22J-HOPE+ANGELIC+VOCALS%22,,%22J-HOPE+ANGELIC+VOCALS%22,44774.0,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
8,29 IDOLIZED YRS OF ANNA,http://twitter.com/search?q=%2229+IDOLIZED+YRS+OF+ANNA%22,,%2229+IDOLIZED+YRS+OF+ANNA%22,10491.0,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
9,Way of Living,http://twitter.com/search?q=%22Way+of+Living%22,,%22Way+of+Living%22,31018.0,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
10,Kashmiri Pandit,http://twitter.com/search?q=%22Kashmiri+Pandit%22,,%22Kashmiri+Pandit%22,,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
11,RUBIHOLICS LOVE RUBINA,http://twitter.com/search?q=%22RUBIHOLICS+LOVE+RUBINA%22,,%22RUBIHOLICS+LOVE+RUBINA%22,13164.0,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
12,EDPL Announced,http://twitter.com/search?q=%22EDPL+Announced%22,,%22EDPL+Announced%22,,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
13,Congratulations RM,http://twitter.com/search?q=%22Congratulations+RM%22,,%22Congratulations+RM%22,69801.0,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
14,satbhakti,http://twitter.com/search?q=satbhakti,,satbhakti,,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
15,Must Watch Sadhna TV 7,http://twitter.com/search?q=%22Must+Watch+Sadhna+TV+7%22,,%22Must+Watch+Sadhna+TV+7%22,19164.0,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
16,Must Read,http://twitter.com/search?q=%22Must+Read%22,,%22Must+Read%22,82027.0,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
17,Satlok Ashram Youtube,http://twitter.com/search?q=%22Satlok+Ashram+Youtube%22,,%22Satlok+Ashram+Youtube%22,39153.0,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
18,कश्मीरी पंडित,http://twitter.com/search?q=%22%E0%A4%95%E0%A4%B6%E0%A5%8D%E0%A4%AE%E0%A5%80%E0%A4%B0%E0%A5%80+%E0%A4%AA%E0%A4%82%E0%A4%A1%E0%A4%BF%E0%A4%A4%22,,%22%E0%A4%95%E0%A4%B6%E0%A5%8D%E0%A4%AE%E0%A5%80%E0%A4%B0%E0%A5%80+%E0%A4%AA%E0%A4%82%E0%A4%A1%E0%A4%BF%E0%A4%A4%22,,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
19,Modak,http://twitter.com/search?q=Modak,,Modak,,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
20,Michhami Dukkadam,http://twitter.com/search?q=%22Michhami+Dukkadam%22,,%22Michhami+Dukkadam%22,,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
21,Siva,http://twitter.com/search?q=Siva,,Siva,33781.0,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
22,Thalaivar,http://twitter.com/search?q=Thalaivar,,Thalaivar,65681.0,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
23,Ganesh ji,http://twitter.com/search?q=%22Ganesh+ji%22,,%22Ganesh+ji%22,12456.0,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
24,Monza,http://twitter.com/search?q=Monza,,Monza,29147.0,India,IN,2021-09-10T16:22:00Z,2021-09-09T23:55:19Z
