,name,url,promoted_content,query,tweet_volume,location,country,as_of,created_at
0,#FridayThoughts,http://twitter.com/search?q=%23FridayThoughts,,%23FridayThoughts,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
1,#राजेश_पायलट_अमर_रहे,http://twitter.com/search?q=%23%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A5%87%E0%A4%B6_%E0%A4%AA%E0%A4%BE%E0%A4%AF%E0%A4%B2%E0%A4%9F_%E0%A4%85%E0%A4%AE%E0%A4%B0_%E0%A4%B0%E0%A4%B9%E0%A5%87,,%23%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A5%87%E0%A4%B6_%E0%A4%AA%E0%A4%BE%E0%A4%AF%E0%A4%B2%E0%A4%9F_%E0%A4%85%E0%A4%AE%E0%A4%B0_%E0%A4%B0%E0%A4%B9%E0%A5%87,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
2,#सामाजिक_न्याय_के_महानायक_लालू,http://twitter.com/search?q=%23%E0%A4%B8%E0%A4%BE%E0%A4%AE%E0%A4%BE%E0%A4%9C%E0%A4%BF%E0%A4%95_%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF_%E0%A4%95%E0%A5%87_%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%A8%E0%A4%BE%E0%A4%AF%E0%A4%95_%E0%A4%B2%E0%A4%BE%E0%A4%B2%E0%A5%82,,%23%E0%A4%B8%E0%A4%BE%E0%A4%AE%E0%A4%BE%E0%A4%9C%E0%A4%BF%E0%A4%95_%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF_%E0%A4%95%E0%A5%87_%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%A8%E0%A4%BE%E0%A4%AF%E0%A4%95_%E0%A4%B2%E0%A4%BE%E0%A4%B2%E0%A5%82,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
3,lorde,http://twitter.com/search?q=lorde,,lorde,297158.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
4,#fridaymorning,http://twitter.com/search?q=%23fridaymorning,,%23fridaymorning,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
5,#FridayMotivation,http://twitter.com/search?q=%23FridayMotivation,,%23FridayMotivation,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
6,Death Is Trade 4 Bullywood,http://twitter.com/search?q=%22Death+Is+Trade+4+Bullywood%22,,%22Death+Is+Trade+4+Bullywood%22,112664.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
7,Giannis,http://twitter.com/search?q=Giannis,,Giannis,36627.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
8,Elden Ring,http://twitter.com/search?q=%22Elden+Ring%22,,%22Elden+Ring%22,191004.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
9,Strength To SSR Family,http://twitter.com/search?q=%22Strength+To+SSR+Family%22,,%22Strength+To+SSR+Family%22,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
10,Bucks,http://twitter.com/search?q=Bucks,,Bucks,56760.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
11,Solar Power,http://twitter.com/search?q=%22Solar+Power%22,,%22Solar+Power%22,133220.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
12,Jesus,http://twitter.com/search?q=Jesus,,Jesus,257469.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
13,Adani,http://twitter.com/search?q=Adani,,Adani,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
14,Pujara,http://twitter.com/search?q=Pujara,,Pujara,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
15,billie,http://twitter.com/search?q=billie,,billie,57054.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
16,Sancho,http://twitter.com/search?q=Sancho,,Sancho,97068.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
17,Sri Lanka,http://twitter.com/search?q=%22Sri+Lanka%22,,%22Sri+Lanka%22,16583.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
18,Free World Wide Shipping,http://twitter.com/search?q=%22Free+World+Wide+Shipping%22,,%22Free+World+Wide+Shipping%22,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
19,Lost Hope In Indian Judiciary,http://twitter.com/search?q=%22Lost+Hope+In+Indian+Judiciary%22,,%22Lost+Hope+In+Indian+Judiciary%22,11274.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
20,Fortune,http://twitter.com/search?q=Fortune,,Fortune,25701.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
21,श्री राम,http://twitter.com/search?q=%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B0%E0%A4%BE%E0%A4%AE%22,,%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B0%E0%A4%BE%E0%A4%AE%22,73341.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
22,Buendia,http://twitter.com/search?q=Buendia,,Buendia,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
23,श्री महाकालेश्वर,http://twitter.com/search?q=%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%95%E0%A4%BE%E0%A4%B2%E0%A5%87%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A4%B0%22,,%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%95%E0%A4%BE%E0%A4%B2%E0%A5%87%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A4%B0%22,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
24,antonio maino,http://twitter.com/search?q=%22antonio+maino%22,,%22antonio+maino%22,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
25,avesh,http://twitter.com/search?q=avesh,,avesh,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
26,Good Morning Bro,http://twitter.com/search?q=%22Good+Morning+Bro%22,,%22Good+Morning+Bro%22,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
27,Om Shanti,http://twitter.com/search?q=%22Om+Shanti%22,,%22Om+Shanti%22,11660.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
28,John Cena,http://twitter.com/search?q=%22John+Cena%22,,%22John+Cena%22,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
29,Armaan,http://twitter.com/search?q=Armaan,,Armaan,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
30,Ambani,http://twitter.com/search?q=Ambani,,Ambani,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
31,PlayStation,http://twitter.com/search?q=PlayStation,,PlayStation,184340.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
32,Nobel laureate,http://twitter.com/search?q=%22Nobel+laureate%22,,%22Nobel+laureate%22,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
33,Charlie,http://twitter.com/search?q=Charlie,,Charlie,58748.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
34,Lalu,http://twitter.com/search?q=Lalu,,Lalu,53646.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
35,Communism,http://twitter.com/search?q=Communism,,Communism,13757.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
36,lana,http://twitter.com/search?q=lana,,lana,40374.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
37,Hinata,http://twitter.com/search?q=Hinata,,Hinata,35322.0,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
38,T20I,http://twitter.com/search?q=T20I,,T20I,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
39,Sambit,http://twitter.com/search?q=Sambit,,Sambit,,India,IN,2021-06-11T00:44:34Z,2021-05-22T18:14:34Z
