,name,url,promoted_content,query,tweet_volume,location,country,as_of,created_at
0,#God_In_Islam,http://twitter.com/search?q=%23God_In_Islam,,%23God_In_Islam,398543.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
1,#ShehnaazGillTheNextBigThing,http://twitter.com/search?q=%23ShehnaazGillTheNextBigThing,,%23ShehnaazGillTheNextBigThing,157742.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
2,#RM176KOMCA,http://twitter.com/search?q=%23RM176KOMCA,,%23RM176KOMCA,113771.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
3,#HBDKatrinaKaif,http://twitter.com/search?q=%23HBDKatrinaKaif,,%23HBDKatrinaKaif,14292.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
4,Pray 4 SSRians Who Left World,http://twitter.com/search?q=%22Pray+4+SSRians+Who+Left+World%22,,%22Pray+4+SSRians+Who+Left+World%22,15767.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
5,Allah Kabir,http://twitter.com/search?q=%22Allah+Kabir%22,,%22Allah+Kabir%22,108358.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
6,CONGRATULATIONS NAMJOON,http://twitter.com/search?q=%22CONGRATULATIONS+NAMJOON%22,,%22CONGRATULATIONS+NAMJOON%22,50130.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
7,#TeluguAjithFansDay,http://twitter.com/search?q=%23TeluguAjithFansDay,,%23TeluguAjithFansDay,86531.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
8,Quran Sharif,http://twitter.com/search?q=%22Quran+Sharif%22,,%22Quran+Sharif%22,48687.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
9,Filmfare,http://twitter.com/search?q=Filmfare,,Filmfare,70802.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
10,Hazrat Muhammad,http://twitter.com/search?q=%22Hazrat+Muhammad%22,,%22Hazrat+Muhammad%22,17690.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
11,Prophet Muhammad's God,http://twitter.com/search?q=%22Prophet+Muhammad%27s+God%22,,%22Prophet+Muhammad%27s+God%22,10836.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
12,Sant Rampal Ji Maharaj,http://twitter.com/search?q=%22Sant+Rampal+Ji+Maharaj%22,,%22Sant+Rampal+Ji+Maharaj%22,140124.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
13,Supreme God,http://twitter.com/search?q=%22Supreme+God%22,,%22Supreme+God%22,48124.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
14,the god,http://twitter.com/search?q=%22the+god%22,,%22the+god%22,528393.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
15,कबीर अल्लाह,http://twitter.com/search?q=%22%E0%A4%95%E0%A4%AC%E0%A5%80%E0%A4%B0+%E0%A4%85%E0%A4%B2%E0%A5%8D%E0%A4%B2%E0%A4%BE%E0%A4%B9%22,,%22%E0%A4%95%E0%A4%AC%E0%A5%80%E0%A4%B0+%E0%A4%85%E0%A4%B2%E0%A5%8D%E0%A4%B2%E0%A4%BE%E0%A4%B9%22,96121.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
16,NHRC,http://twitter.com/search?q=NHRC,,NHRC,11232.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
17,Bakhabar,http://twitter.com/search?q=Bakhabar,,Bakhabar,11002.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
18,Allahu Akbar,http://twitter.com/search?q=%22Allahu+Akbar%22,,%22Allahu+Akbar%22,21436.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
19,कबीर साहेब,http://twitter.com/search?q=%22%E0%A4%95%E0%A4%AC%E0%A5%80%E0%A4%B0+%E0%A4%B8%E0%A4%BE%E0%A4%B9%E0%A5%87%E0%A4%AC%22,,%22%E0%A4%95%E0%A4%AC%E0%A5%80%E0%A4%B0+%E0%A4%B8%E0%A4%BE%E0%A4%B9%E0%A5%87%E0%A4%AC%22,39264.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
20,paxton,http://twitter.com/search?q=paxton,,paxton,11486.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
21,Ashram YouTube,http://twitter.com/search?q=%22Ashram+YouTube%22,,%22Ashram+YouTube%22,98865.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
22,15June SSR PM Report False,http://twitter.com/search?q=%2215June+SSR+PM+Report+False%22,,%2215June+SSR+PM+Report+False%22,113459.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
23,Oh Prophet,http://twitter.com/search?q=%22Oh+Prophet%22,,%22Oh+Prophet%22,,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
24,Jinda Saint,http://twitter.com/search?q=%22Jinda+Saint%22,,%22Jinda+Saint%22,,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
25,Tipu Sultan,http://twitter.com/search?q=%22Tipu+Sultan%22,,%22Tipu+Sultan%22,,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
26,Dayanand Garani,http://twitter.com/search?q=%22Dayanand+Garani%22,,%22Dayanand+Garani%22,,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
27,junmyeon,http://twitter.com/search?q=junmyeon,,junmyeon,79856.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
28,Tammy,http://twitter.com/search?q=Tammy,,Tammy,14932.0,India,IN,2021-07-15T16:22:13Z,2021-07-14T18:57:19Z
