,name,url,promoted_content,query,tweet_volume,location,country,as_of,created_at
0,BBGOAT SIDHARTH IS BACK,http://twitter.com/search?q=%22BBGOAT+SIDHARTH+IS+BACK%22,,%22BBGOAT+SIDHARTH+IS+BACK%22,401706.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
1,#4YearsOfRaees,http://twitter.com/search?q=%234YearsOfRaees,,%234YearsOfRaees,27193.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
2,#30YearsOfKHILADIsm,http://twitter.com/search?q=%2330YearsOfKHILADIsm,,%2330YearsOfKHILADIsm,83752.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
3,#SVPMarchingTowards100M,http://twitter.com/search?q=%23SVPMarchingTowards100M,,%23SVPMarchingTowards100M,169862.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
4,#DOHminationEraBegin,http://twitter.com/search?q=%23DOHminationEraBegin,,%23DOHminationEraBegin,517455.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
5,#PrinceKyungsooReturns,http://twitter.com/search?q=%23PrinceKyungsooReturns,,%23PrinceKyungsooReturns,508371.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
6,Mesut,http://twitter.com/search?q=Mesut,,Mesut,298862.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
7,HBD VISHAL ADITYA SINGH,http://twitter.com/search?q=%22HBD+VISHAL+ADITYA+SINGH%22,,%22HBD+VISHAL+ADITYA+SINGH%22,,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
8,Zoya Farooqui Gonna Rock,http://twitter.com/search?q=%22Zoya+Farooqui+Gonna+Rock%22,,%22Zoya+Farooqui+Gonna+Rock%22,,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
9,Latest Pic,http://twitter.com/search?q=%22Latest+Pic%22,,%22Latest+Pic%22,,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
10,Rhea Sharma,http://twitter.com/search?q=%22Rhea+Sharma%22,,%22Rhea+Sharma%22,13090.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
11,Donny,http://twitter.com/search?q=Donny,,Donny,21346.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
12,Armin,http://twitter.com/search?q=Armin,,Armin,76535.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
13,POCSO,http://twitter.com/search?q=POCSO,,POCSO,,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
14,Werner,http://twitter.com/search?q=Werner,,Werner,42272.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
15,Queen Of Elegance Rashami,http://twitter.com/search?q=%22Queen+Of+Elegance+Rashami%22,,%22Queen+Of+Elegance+Rashami%22,40441.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
16,Chan,http://twitter.com/search?q=Chan,,Chan,372605.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
17,taehyun,http://twitter.com/search?q=taehyun,,taehyun,79055.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
18,Kepa,http://twitter.com/search?q=Kepa,,Kepa,29813.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
19,minho,http://twitter.com/search?q=minho,,minho,121979.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
20,BTSARMY 7OTE ON SMA,http://twitter.com/search?q=%22BTSARMY+7OTE+ON+SMA%22,,%22BTSARMY+7OTE+ON+SMA%22,164895.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
21,Tammy,http://twitter.com/search?q=Tammy,,Tammy,24254.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
22,Delhi Police,http://twitter.com/search?q=%22Delhi+Police%22,,%22Delhi+Police%22,20400.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
23,Luton,http://twitter.com/search?q=Luton,,Luton,27390.0,India,IN,2021-01-24T16:52:27Z,2021-01-24T01:19:36Z
