,name,url,promoted_content,query,tweet_volume,location,country,as_of,created_at
0,#CongratsTHALAAjith,http://twitter.com/search?q=%23CongratsTHALAAjith,,%23CongratsTHALAAjith,172217.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
1,#LIVFUL,http://twitter.com/search?q=%23LIVFUL,,%23LIVFUL,38607.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
2,Liverpool,http://twitter.com/search?q=Liverpool,,Liverpool,175887.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
3,#प्रतिदिन_सत्संग_जरूरसुनें,http://twitter.com/search?q=%23%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%A4%E0%A4%BF%E0%A4%A6%E0%A4%BF%E0%A4%A8_%E0%A4%B8%E0%A4%A4%E0%A5%8D%E0%A4%B8%E0%A4%82%E0%A4%97_%E0%A4%9C%E0%A4%B0%E0%A5%82%E0%A4%B0%E0%A4%B8%E0%A5%81%E0%A4%A8%E0%A5%87%E0%A4%82,,%23%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%A4%E0%A4%BF%E0%A4%A6%E0%A4%BF%E0%A4%A8_%E0%A4%B8%E0%A4%A4%E0%A5%8D%E0%A4%B8%E0%A4%82%E0%A4%97_%E0%A4%9C%E0%A4%B0%E0%A5%82%E0%A4%B0%E0%A4%B8%E0%A5%81%E0%A4%A8%E0%A5%87%E0%A4%82,89358.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
4,#OurLeaderVIJAY,http://twitter.com/search?q=%23OurLeaderVIJAY,,%23OurLeaderVIJAY,153143.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
5,Anfield,http://twitter.com/search?q=Anfield,,Anfield,49387.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
6,#whokilledmansukhhiren,http://twitter.com/search?q=%23whokilledmansukhhiren,,%23whokilledmansukhhiren,,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
7,Klopp,http://twitter.com/search?q=Klopp,,Klopp,44725.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
8,Fulham,http://twitter.com/search?q=Fulham,,Fulham,60256.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
9,Subharti TV,http://twitter.com/search?q=%22Subharti+TV%22,,%22Subharti+TV%22,48022.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
10,Blessings For SSR Justice,http://twitter.com/search?q=%22Blessings+For+SSR+Justice%22,,%22Blessings+For+SSR+Justice%22,63475.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
11,Suarez,http://twitter.com/search?q=Suarez,,Suarez,43168.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
12,Hernandez Hernandez,http://twitter.com/search?q=%22Hernandez+Hernandez%22,,%22Hernandez+Hernandez%22,41910.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
13,7 YEARS OF QUEEN,http://twitter.com/search?q=%227+YEARS+OF+QUEEN%22,,%227+YEARS+OF+QUEEN%22,18994.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
14,Sant Rampal Ji Maharaj Ji,http://twitter.com/search?q=%22Sant+Rampal+Ji+Maharaj+Ji%22,,%22Sant+Rampal+Ji+Maharaj+Ji%22,67642.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
15,ASYA BACK WITH BANG,http://twitter.com/search?q=%22ASYA+BACK+WITH+BANG%22,,%22ASYA+BACK+WITH+BANG%22,,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
16,rubina paras in mv,http://twitter.com/search?q=%22rubina+paras+in+mv%22,,%22rubina+paras+in+mv%22,383907.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
17,KAPIL SPECIAL ON NETFLIX,http://twitter.com/search?q=%22KAPIL+SPECIAL+ON+NETFLIX%22,,%22KAPIL+SPECIAL+ON+NETFLIX%22,,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
18,Scott Parker,http://twitter.com/search?q=%22Scott+Parker%22,,%22Scott+Parker%22,,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
19,Milner,http://twitter.com/search?q=Milner,,Milner,,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
20,AAMIR KHAN BIRTHDAY WEEK,http://twitter.com/search?q=%22AAMIR+KHAN+BIRTHDAY+WEEK%22,,%22AAMIR+KHAN+BIRTHDAY+WEEK%22,13593.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
21,Suzy,http://twitter.com/search?q=Suzy,,Suzy,12592.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
22,Jurgen,http://twitter.com/search?q=Jurgen,,Jurgen,11291.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
23,NATION WISHES ARNAB HBD,http://twitter.com/search?q=%22NATION+WISHES+ARNAB+HBD%22,,%22NATION+WISHES+ARNAB+HBD%22,19097.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
24,Bengal,http://twitter.com/search?q=Bengal,,Bengal,523596.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
25,Asensio,http://twitter.com/search?q=Asensio,,Asensio,14878.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
26,Carolina Marin,http://twitter.com/search?q=%22Carolina+Marin%22,,%22Carolina+Marin%22,,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
27,Cobra,http://twitter.com/search?q=Cobra,,Cobra,47466.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
28,Jan Tantra TV,http://twitter.com/search?q=%22Jan+Tantra+TV%22,,%22Jan+Tantra+TV%22,27740.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
29,Steven Gerrard,http://twitter.com/search?q=%22Steven+Gerrard%22,,%22Steven+Gerrard%22,50482.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
30,Pre Release Event,http://twitter.com/search?q=%22Pre+Release+Event%22,,%22Pre+Release+Event%22,,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
31,Grammy,http://twitter.com/search?q=Grammy,,Grammy,245969.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
32,EIJAZ FAN FOR LIFE,http://twitter.com/search?q=%22EIJAZ+FAN+FOR+LIFE%22,,%22EIJAZ+FAN+FOR+LIFE%22,48903.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
33,Sindhu,http://twitter.com/search?q=Sindhu,,Sindhu,,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
34,Fabinho,http://twitter.com/search?q=Fabinho,,Fabinho,,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
35,Rangers,http://twitter.com/search?q=Rangers,,Rangers,153460.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
36,Jota,http://twitter.com/search?q=Jota,,Jota,16844.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
37,Keita,http://twitter.com/search?q=Keita,,Keita,11322.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
38,Trichy,http://twitter.com/search?q=Trichy,,Trichy,,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
39,RABBA MEHAR KARI VLOG,http://twitter.com/search?q=%22RABBA+MEHAR+KARI+VLOG%22,,%22RABBA+MEHAR+KARI+VLOG%22,,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
40,Kolkata,http://twitter.com/search?q=Kolkata,,Kolkata,186259.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
41,#HomelyShelter,http://twitter.com/search?q=%23HomelyShelter,,%23HomelyShelter,,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
42,#Aashiyana,http://twitter.com/search?q=%23Aashiyana,,%23Aashiyana,,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
43,#NitaAmbani,http://twitter.com/search?q=%23NitaAmbani,,%23NitaAmbani,,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
44,#TrueSocialReformer,http://twitter.com/search?q=%23TrueSocialReformer,,%23TrueSocialReformer,,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
45,#AtletiRealMadrid,http://twitter.com/search?q=%23AtletiRealMadrid,,%23AtletiRealMadrid,27360.0,India,IN,2021-03-07T16:23:38Z,2021-03-07T02:57:12Z
