,name,url,promoted_content,query,tweet_volume,location,country,as_of,created_at
0,ARRIVAL OF AGASTYA RAO,http://twitter.com/search?q=%22ARRIVAL+OF+AGASTYA+RAO%22,,%22ARRIVAL+OF+AGASTYA+RAO%22,192029.0,India,IN,2021-05-13T08:20:22Z,2021-05-10T15:11:25Z
1,#EidMubarak,http://twitter.com/search?q=%23EidMubarak,,%23EidMubarak,493665.0,India,IN,2021-05-13T08:20:22Z,2021-05-10T15:11:25Z
2,#Radhe,http://twitter.com/search?q=%23Radhe,,%23Radhe,84918.0,India,IN,2021-05-13T08:20:22Z,2021-05-10T15:11:25Z
3,#RedmiNote10S,http://twitter.com/search?q=%23RedmiNote10S,,%23RedmiNote10S,,India,IN,2021-05-13T08:20:22Z,2021-05-10T15:11:25Z
4,#GangaExposedModi,http://twitter.com/search?q=%23GangaExposedModi,,%23GangaExposedModi,35313.0,India,IN,2021-05-13T08:20:22Z,2021-05-10T15:11:25Z
5,#MessageOfAllahOnEid,http://twitter.com/search?q=%23MessageOfAllahOnEid,,%23MessageOfAllahOnEid,241477.0,India,IN,2021-05-13T08:20:22Z,2021-05-10T15:11:25Z
6,Did AU Bhatt Plan SSR Murder,http://twitter.com/search?q=%22Did+AU+Bhatt+Plan+SSR+Murder%22,,%22Did+AU+Bhatt+Plan+SSR+Murder%22,61213.0,India,IN,2021-05-13T08:20:22Z,2021-05-10T15:11:25Z
7,Allah Kabir,http://twitter.com/search?q=%22Allah+Kabir%22,,%22Allah+Kabir%22,204067.0,India,IN,2021-05-13T08:20:22Z,2021-05-10T15:11:25Z
8,1M IG POSTS ADORING RUBINAV,http://twitter.com/search?q=%221M+IG+POSTS+ADORING+RUBINAV%22,,%221M+IG+POSTS+ADORING+RUBINAV%22,30911.0,India,IN,2021-05-13T08:20:22Z,2021-05-10T15:11:25Z
9,Tim Paine,http://twitter.com/search?q=%22Tim+Paine%22,,%22Tim+Paine%22,,India,IN,2021-05-13T08:20:22Z,2021-05-10T15:11:25Z
